Id,Reputation,Views,UpVotes,DownVotes,AccountAgeDays,DaysSinceLastActivity
8494,58003,3998,1251,66,5771,4416
27421,44695,3368,1297,146,5771,56
37976,516161,95476,14491,75435,5770,48
36375,15968,1514,164,6,5770,48
46534,114777,3684,1516,135,5770,744
47160,9368,682,624,17,5770,50
28845,24239,1299,193,11,5770,48
33288,6316,502,561,13,5770,49
36230,4812,709,145,5,5770,49
2138,59431,4600,3033,168,5770,49
16732,3423,292,440,15,5770,49
51149,115193,15809,2868,171,5770,48
11586,71260,2863,2452,13,5770,72
2029,184099,10552,713,134,5770,99
27636,11698,363,57,1,5769,1879
19849,58461,10666,219,12,5769,50
11368,29200,3914,537,138,5769,347
37877,202337,11670,2026,58,5769,51
33602,5033,483,326,3,5769,1995
39593,27409,861,550,3,5769,49
11673,14588,1629,431,185,5769,57
18624,8568,512,128,3,5769,84
16049,78289,10758,634,39,5769,84
47084,57893,4857,1838,36,5769,52
5633,62454,1549,89,29,5727,50
3945,5374,681,2629,38,5727,59
10041,29609,2498,923,39,5727,49
11118,219996,10275,807,822,5727,247
26833,10178,786,208,15,5727,48
36986,160164,5174,1850,1,5727,233
50737,129544,20493,2066,348,5727,261
19640,9941,1515,156,24,5727,49
48935,7066,826,557,24,5727,49
26040,15267,3333,1456,11,5769,49
12823,14349,870,1309,88,5769,50
17580,13495,1257,1209,116,5768,49
39580,20786,2198,643,15,5756,52
47204,85038,12240,814,130,5756,49
45649,102089,8948,1426,24,5756,49
33338,34794,4159,1442,134,5732,48
34872,10799,851,84,0,5732,2233
47379,12144,1886,232,11,5732,49
44822,40915,2331,2486,72,5732,183
24848,1014,155,213,10,5732,664
51278,11073,3036,5331,790,5732,48
6479,2398,248,355,13,5516,48
36806,7523,1483,625,120,5516,4134
27301,92948,2533,1613,23,5516,477
30862,140065,3578,292,48,5516,49
13469,7368,841,1230,16,5620,48
18240,29050,2210,2374,139,5620,49
21434,45715,3098,2107,12,5620,49
51346,132389,6717,3806,33,5620,57
32099,40179,3805,601,18,5567,811
28223,10145,546,130,18,5567,53
2810,4796,462,402,4,5567,339
32731,15612,579,140,14,5567,1646
1574,34395,3876,1372,9,5567,162
20216,36123,5161,3772,460,5566,48
40200,21519,4000,1482,58,5719,3643
39098,6400,444,209,14,5719,50
27961,94537,30614,4747,1294,5463,48
261,954,214,16,0,5463,4289
523,1966,144,127,4,5462,59
28455,4901,323,99,3,5462,447
28904,15097,1245,484,439,5462,1329
19269,19501,1939,1440,362,5462,50
4269,34638,1828,4312,37,5462,48
44770,1242,117,609,6,5441,65
5640,21727,726,924,0,5441,150
30144,18670,1724,4174,12,5660,48
15455,10754,989,177,20,5660,442
28141,3796,788,78,7,5660,256
28515,17281,554,2629,1,5660,686
46147,104193,5720,1762,193,5338,48
10820,13446,807,346,20,5344,673
2566,9649,403,384,4,5344,49
44231,13051,752,257,6,5344,312
21078,370,69,97,19,5218,75
41216,149004,11364,3536,491,5422,49
18050,13844,3081,589,123,5363,52
16456,21694,1671,695,4,5363,159
10978,11102,410,508,19,5478,50
50848,32714,5271,3825,1486,5478,52
42101,70464,6201,5428,34,5478,48
2370,3743,353,532,84,5402,359
26147,136431,12178,2827,672,5402,176
3889,7245,457,121,41,5295,49
46123,17400,1495,171,39,5727,971
42389,23408,1565,1437,99,5727,169
14699,4371,263,48,6,5727,968
4938,15975,2058,569,7,5727,56
5870,16937,1410,1272,7,5768,84
18428,7136,545,525,3,5768,286
15513,16766,917,181,97,5768,672
8685,16858,1488,1126,118,5768,63
26383,24515,1874,457,73,5620,1548
31082,4305,368,1320,3,5620,52
46320,17546,607,765,10,5334,48
4733,3551,165,41,3,5334,744
35249,5309,515,1163,9,5334,255
19437,1241,135,32,0,5320,824
27698,6017,607,192,40,5320,49
6040,6465,880,217,11,5386,48
36217,21187,9378,214,683,5386,48
43593,3795,354,2006,70,5755,58
1086,33645,2023,322,7,5755,49
17129,5779,1027,376,37,5596,49
50386,2694,581,38,0,5595,3615
50579,14749,2088,223,28,5234,123
31506,19013,1630,1030,133,5572,3175
8122,18460,4900,1324,181,5237,52
5592,9470,460,205,14,5234,49
42814,729,67,28,0,5234,1570
48520,10337,747,609,11,5234,49
12709,28410,982,271,31,5499,1828
44508,27451,1677,1090,8,5499,50
44896,30636,2320,2426,37,5499,59
44772,29994,1739,1231,85,5516,51
48305,1808,177,170,9,5307,131
46047,12390,684,635,14,5719,49
1827,4237,738,491,28,5719,53
38477,10024,1146,408,73,5719,499
4504,24651,1475,1653,374,5660,64
12842,3464,369,225,6,5660,50
6546,13643,1106,205,129,5660,72
29802,39764,1298,1312,24,5660,1331
4212,27085,3530,1346,168,5660,3217
27642,8829,443,1115,3,5768,302
33163,133381,9794,534,43,5768,2606
6438,58112,2200,722,11,5768,60
22550,12034,1337,197,8,5566,78
26556,1261,83,78,1,5441,200
20972,7006,199,647,6,5441,512
23252,6491,468,144,13,5344,555
17944,3779,205,302,41,5344,84
12129,126396,13844,12104,413,5544,48
4603,67357,1828,528,30,5755,1752
4121,9875,616,268,43,5755,686
21023,41732,2207,2900,88,5755,48
16645,69200,5265,2474,49,5755,57
51343,5204,177,36,2,5422,65
11081,3532,221,284,22,5422,49
34718,7846,548,91,13,5422,50
49657,19265,744,674,5,5338,107
4452,2436,603,1104,45,5338,48
18093,5909,1137,1292,42,5619,59
3879,5428,1002,458,19,5619,52
8566,9953,1954,169,1,5700,51
42157,8930,550,166,0,5619,4660
31548,10280,1217,209,18,5478,149
10523,15158,2529,2303,171,5690,48
21517,5146,492,278,9,5690,57
15601,8836,1259,1571,28,5690,141
21309,167739,5449,3350,105,5768,420
8347,6310,416,332,14,5768,421
22557,12660,752,393,6,5768,181
23465,19595,2167,1256,28,5768,51
20791,30923,2110,334,115,5768,49
9557,39969,1393,925,26,5768,56
26290,8771,1072,602,110,5402,52
4397,5406,527,467,110,5402,4852
37302,39509,2703,646,11,5402,138
11147,5471,662,67,4,5719,55
34579,16711,1823,1168,31,5719,48
3107,12102,582,312,49,5719,1035
43510,6976,886,666,44,5462,103
46129,44649,9706,3295,92,5462,53
31532,15623,354,253,14,5755,232
45291,17317,1011,471,12,5755,49
25415,27191,2707,902,108,5755,53
44085,41378,2153,1545,13,5755,59
8129,21475,2174,2046,101,5591,786
46758,305448,34697,9572,2491,5660,48
44277,174367,11071,5623,354,5660,63
29724,8370,611,200,41,5660,49
18094,103204,6462,3467,279,5727,49
45929,5682,515,281,3,5727,434
11945,14617,2995,1751,308,5727,50
17248,20408,2080,733,10,5727,937
38273,1906,327,649,34,5727,48
24333,10451,1481,226,61,5727,50
44407,1517,263,0,0,5566,2358
15268,3421,707,1218,4,5566,49
50582,27879,5348,2781,43,5690,57
23726,6769,1252,245,89,5690,1543
1873,22125,1458,704,56,5690,56
14867,16856,1169,493,6,5689,48
3918,59847,3010,963,45,5478,49
23564,17452,3072,357,14,5478,56
22699,5638,305,519,3,5402,57
31817,41680,7245,1953,16,5402,51
13551,33037,3516,1201,111,5402,48
43864,44036,5106,3527,1445,5402,48
40938,12252,761,1488,121,5343,49
7793,43573,5251,1800,65,5619,3302
29649,22559,1592,2585,74,5619,50
47744,7312,662,39,1,5363,93
17786,4918,299,1108,6,5755,104
35338,16787,1069,911,9,5755,1620
26176,18820,2078,876,19,5755,940
33683,19251,580,282,13,5768,1238
5672,29480,1761,1604,247,5768,51
27924,36307,1639,431,77,5768,430
39483,2858,267,87,1,5767,2603
7238,4554,405,837,12,5334,59
31392,19236,1018,1330,100,5334,51
21953,14420,3095,598,94,5660,217
21174,5831,497,182,14,5462,50
5299,6495,1277,636,8,5462,232
43274,14640,1438,1152,10,5727,50
43249,54884,3390,2031,59,5727,49
48230,16377,1808,6142,27,5727,49
32053,4338,180,10,2,5402,4065
23132,6484,448,283,41,5401,682
19964,27912,1815,1655,194,5515,1394
22362,9580,686,1000,31,5515,49
15846,15477,2836,1856,5465,5515,55
38856,1127,3666,40,0,5515,1065
19770,53551,14996,5962,511,5338,49
11841,117233,5663,788,29,5767,315
25132,2061,472,36,3,5767,767
20519,158276,36269,3975,1716,5767,49
1801,174663,9996,1332,6,5767,988
48216,15568,1337,1038,98,5718,50
9138,4618,726,1583,2,5718,49
48494,44692,2417,834,83,5718,49
44894,6085,490,169,18,5478,2110
40423,135898,4247,1278,223,5689,56
36305,786,152,16,1,5689,5419
34665,7969,692,110,13,5755,491
13715,31932,810,296,13,5755,48
8518,12341,1523,2396,33,5660,1892
28775,1492,153,23,7,5660,3011
32919,36183,1131,367,16,5660,58
6884,53601,5124,1666,1231,5659,86
3403,3754,292,481,4,5618,49
7321,331,51,7,0,5618,4688
42808,11958,1891,1171,3,5386,48
14694,37080,6765,1700,1673,5386,49
42173,13464,766,1875,29,5386,49
16886,19157,1131,92,50,5566,56
33472,9256,1282,1178,5,5566,48
423,4926,441,877,24,5422,64
22925,9446,1365,718,170,5422,48
24137,97314,5286,2047,206,5727,49
47462,8617,419,282,8,5727,52
14082,47362,2108,1291,7,5727,48
24592,11825,1621,3012,365,5727,50
2851,9853,1080,515,14,5727,51
47238,6763,882,684,9,5727,3656
26604,11462,762,145,32,5727,48
23097,54399,6981,4520,29,5727,48
35864,35781,1936,2611,19,5401,48
15921,14958,1644,829,31,5401,1907
1896,3299,125,1160,18,5401,2067
32586,9980,1230,150,10,5401,52
33521,11961,1202,945,72,5767,52
8629,13007,1715,179,1,5515,319
33702,6149,497,686,130,5515,52
18945,7331,932,235,55,5515,1793
9734,7794,526,34,0,5515,1148
23180,94769,4192,2833,207,5689,338
46171,51054,5565,6055,388,5689,49
16122,16884,1649,983,19,5689,49
35268,37493,3336,1430,103,5689,50
22687,21677,3583,1673,639,5477,86
8050,80988,18102,905,277,5659,1191
22979,216438,10191,1258,283,5659,53
35013,3744,249,160,3,5659,1661
25977,35437,1590,1623,66,5755,53
7751,43034,2697,1186,7,5755,525
13343,68305,2648,5469,74,5755,108
40124,39086,6330,3203,95,5754,49
12231,21047,3906,1990,293,5618,49
26600,37903,2969,2637,2,5618,49
20890,16649,1463,305,30,5718,49
42529,5016,676,57,14,5718,2229
21316,18222,1688,352,53,5718,171
27683,66305,4736,328,5,5718,48
8628,4318,473,29,9,5401,3923
12764,4522,555,549,14,5401,2650
15540,24608,3660,374,8,5401,58
32628,18031,1217,931,72,5362,57
50727,3185,194,81,0,5362,2511
27039,33647,2923,1317,306,5688,48
33330,484802,43424,19331,2602,5688,49
19529,43012,1839,507,14,5688,54
32094,16124,1117,331,51,5422,49
26567,5200,731,1107,4,5422,57
22857,30177,1808,480,48,5338,50
32927,45913,3116,2017,28,5767,49
47742,44547,995,78,6,5767,49
39427,5741,941,1476,87,5767,1025
8636,7872,684,333,21,5767,732
4670,14745,920,1041,25,5767,49
26464,46294,5648,238,10,5767,1562
27195,14836,284,80,0,5343,48
50051,18478,1017,1525,9,5477,241
19949,4811,375,34,3,5477,49
44140,24418,1355,26,11,5477,3914
23961,12595,1860,503,31,5477,49
12321,31970,2658,1508,133,5754,914
37193,87652,7220,9107,353,5754,65
4384,26310,1328,426,64,5754,74
1918,3919,505,323,22,5754,1537
40207,19986,1244,2233,9,5754,57
23603,92332,5389,1672,109,5754,48
31726,14711,513,398,6,5659,693
16862,14081,1430,293,43,5659,87
41373,10739,1105,395,145,5659,3820
16527,160854,13452,2248,2297,5618,48
49804,26774,1315,127,21,5718,923
12658,7046,693,290,15,5718,49
6137,5573,677,191,6,5718,58
30709,9185,808,298,8,5718,48
36716,557,73,29,1,5688,1257
23822,3958,731,49,1,5688,553
10730,8790,1046,159,32,5688,49
30766,29854,1614,802,58,5688,68
36975,12190,1143,583,139,5688,48
37202,20802,1168,259,1,5595,49
23170,2281,131,159,0,5595,49
21551,19389,2110,1331,34,5595,48
22988,5635,498,650,12,5595,436
6131,14048,1248,491,42,5595,49
20059,10129,972,590,20,5766,63
2268,11261,1248,1292,15,5766,368
41523,970924,145586,6475,2035,5766,50
30827,130363,4880,4412,302,5422,49
47259,1968,155,182,35,5422,170
24239,15003,17699,581,68154,5386,48
19093,15013,2432,220,1175,5386,50
23241,13656,674,264,137,5386,286
45694,3834,470,784,30,5566,49
14671,17995,662,93,3,5566,895
22954,151740,9330,2253,323,5566,50
40374,3104,247,41,6,5401,50
46872,9054,1741,849,21,5401,49
20551,4924,276,320,64,5401,64
3363,2795,569,184,6,5218,73
32691,6603,958,203,4,5727,50
10195,16505,1380,650,77,5754,51
13548,72754,4948,6740,244,5754,49
25427,13290,620,851,3,5754,714
46817,10036,618,142,10,5754,49
3783,4626,534,6257,15,5618,49
44162,21677,830,390,7,5618,54
35075,1771,308,67,5,5618,48
11042,5805,345,81,2,5618,200
21538,11115,872,352,21,5618,49
45395,39488,4345,677,80,5659,266
31378,101390,4302,845,24,5659,52
39579,11871,6087,542,26,5659,50
48879,14160,874,282,16,5659,3509
48980,26817,1601,693,16,5766,48
2097,152466,7370,2829,181,5766,49
49323,23500,1065,457,20,5766,721
21201,27056,2151,801,71,5766,51
39627,3973,911,1215,3,5766,49
16893,72028,4121,2325,22,5718,248
20868,89101,10288,1217,73,5718,2075
13147,6638,706,187,31,5717,1721
741,51533,1668,3296,62,5421,49
7640,15078,1720,885,436,5688,53
43087,10657,1057,411,28,5688,50
41958,21705,1075,1314,13,5477,463
27659,3010,305,939,9,5233,90
2366,15923,1277,1062,22,5729,51
43103,14041,1228,2320,9,5729,1058
35105,8983,2822,1405,19,5729,48
30476,388120,85251,8545,914,5729,148
51080,46659,8326,723,127,5729,51
41962,1790,418,58,5,5729,1620
30624,24360,1378,1420,0,5462,1710
44834,25129,3718,482,22,5462,51
21867,34859,2434,656,55,5462,55
41796,20261,3017,780,189,5401,750
17184,7776,321,389,17,5401,49
2751,5073,423,356,17,5401,94
11378,12629,197,9,0,5401,2307
1619,9493,819,636,162,5659,375
4473,19417,2812,2337,30,5659,765
12498,7262,537,292,16,5659,50
15425,2756,325,77,48,5659,352
29216,3526,373,528,6,5343,65
11146,53610,4241,1716,537,5730,1066
44995,23205,1236,225,15,5343,58
44691,20690,1150,1767,230,5343,49
9738,8901,1145,134,4,5343,84
20647,7813,511,372,28,5717,50
2680,57989,1469,1784,3,5717,89
48609,27358,2844,10480,164,5717,49
25009,25332,1343,2496,14,5717,50
16016,2024,263,325,11,5421,53
46730,5708,453,136,37,5421,49
20851,5880,391,554,28,5421,130
33644,3727,255,496,1,5766,53
23142,6365,865,262,9,5766,344
36576,11579,571,445,10,5766,49
43956,8105,395,201,12,5766,1626
10988,7172,1716,520,16,5477,63
44636,67605,7426,4252,38,5477,50
29537,19520,3153,971,25,5688,48
43444,48745,3172,1371,106,5687,649
3604,614,176,24,1,5687,3129
48508,14578,1279,214,54,5687,49
28779,9779,1716,328,6,5659,81
42163,188314,16431,5683,220,5727,48
6055,30843,2320,1366,24,5727,52
32366,12181,1406,2468,2,5618,51
42509,47408,2395,2150,176,5618,286
10293,36369,1048,73,23,5754,929
29592,28377,3009,1300,262,5754,49
39124,460,53,133,0,5334,711
45275,26220,610,74,3,5334,55
40095,12626,576,614,37,5334,2776
18273,37547,1092,1207,11,5401,71
37095,197972,6977,630,50,5502,48
17488,3327,756,236,9,5401,64
37497,5202,204,50,2,5717,1911
34236,6816,952,200,10,5717,331
41545,10237,589,427,27,5717,60
35809,99502,10061,7668,615,5717,58
43985,5984,700,337,22,5717,3858
5343,6915,458,437,9,5338,49
46134,8462,524,365,44,5338,48
35313,5715,299,52,15,5338,1290
24151,26066,799,540,25,5659,373
21259,38444,2513,484,36,5729,56
16018,4450,422,61,8,5477,3244
30822,8606,681,1436,20,5765,56
51342,17186,1455,130,15,5765,2406
27313,31072,1173,1169,448,5765,163
15111,8247,1482,833,191,5595,4090
32896,99842,16190,4991,1298,5754,228
837,11341,1313,485,0,5754,59
33495,55964,8271,294,686,5754,491
35931,590,91,13,0,5343,2382
7039,28300,2898,961,200,5343,645
42102,5232,303,847,14,5343,50
23677,10395,405,706,37,5233,51
6583,1387,139,69,3,5233,2200
25982,25542,3026,838,154,5659,48
36309,19966,1328,191,92,5658,48
7834,8213,2022,1201,191,5687,178
11208,23635,2712,3165,69,5687,51
8705,19548,1142,483,71,5687,50
27231,63846,4549,2954,13,5687,57
26714,32846,1814,704,22,5727,214
6794,3073,776,664,73,5727,48
49953,575,221,97,6,5727,49
3043,131625,7151,729,193,5727,1621
35434,5816,1206,67,8,5617,3509
40913,1451,150,162,6,5617,48
40480,17583,1141,499,345,5754,53
18995,12555,4170,2039,253,5754,50
45315,7201,1532,2601,35,5754,49
28019,25178,1681,389,45,5754,49
4501,90770,16892,2519,397,5754,2391
17641,4044,560,262,12,5765,374
19153,50871,1775,1177,71,5765,59
44709,72699,3861,1938,73,5765,63
22367,39324,2670,1372,301,5765,49
36457,20254,3373,3638,360,5729,766
2477,5233,528,86,17,5729,49
44267,6428,508,772,7,5477,777
4439,9512,1234,1059,19,5477,51
32803,15255,1241,204,194,5477,61
21340,13658,1638,180,5,5477,172
29179,61879,5437,2386,175,5717,90
40960,13791,1423,1139,40,5717,78
1718,17767,911,535,17,5717,49
26569,28498,1378,1084,66,5717,49
48548,29413,2682,831,14,5717,58
26608,7670,705,1422,100,5717,2732
45103,743066,74020,7930,73,5717,110
33437,10512,568,694,14,5421,49
22910,2105,337,389,4,5421,580
50378,5848,531,456,160,5421,53
34992,15050,2416,1968,6,5754,113
49035,5985,521,271,5,5753,53
48399,24352,1121,678,145,5753,2764
20626,24643,2057,1157,65,5753,2229
17998,28439,1568,1227,38,5658,2190
16880,24095,1757,3817,163,5658,52
46506,39226,3007,635,17,5658,911
4132,3902,529,702,24,5566,49
36397,9639,433,305,6,5565,51
16085,11923,695,820,11,5499,862
35342,582,82,19,0,5499,1229
42544,783,160,80,2,5499,48
4884,43974,4579,1703,13,5462,50
5181,34544,887,2660,134,5462,252
3139,20040,1779,2229,34,5727,52
19471,4886,298,37,0,5727,3876
40518,28695,1734,1157,98,5765,58
12694,2316,417,336,17,5765,49
19227,31544,4936,2760,366,5765,48
25275,7721,294,1011,9,5716,229
25508,57292,3408,2630,51,5753,78
9285,137962,25533,4521,144,5753,51
46439,15427,1789,714,39,5753,2004
30601,121190,5141,2388,177,5753,49
41303,121958,2202,544,7,5753,240
21971,20445,1800,1540,49,5386,49
31520,2704,243,66,14,5386,473
8097,16449,144,101,0,5386,1865
23218,1466,221,18,0,5386,617
17351,10371,1566,288,24,5687,49
19423,54100,3080,464,2,5687,94
23089,22443,2943,269,28,5687,817
13011,23171,1064,1188,9,5687,51
14723,17648,1946,740,29,5687,193
323,41634,3442,507,89,5729,1118
34670,17573,923,353,18,5729,277
40881,28766,1228,1952,140,5729,49
7815,12699,1502,708,113,5729,49
48649,13325,919,993,6,5617,49
41470,4925,239,84,14,5617,58
26077,29053,945,527,44,5658,50
50003,112528,5656,3881,219,5658,417
51420,2058,182,129,9,5658,1794
42900,2262,336,920,21,5658,49
15121,240675,14237,15264,1528,5658,49
7073,1712,120,33,0,5421,53
43627,5812,569,171,4,5421,1054
12302,24151,2268,2642,791,5343,48
20625,19313,2295,808,8,5343,50
47074,28627,1666,888,256,5343,101
43762,8237,479,397,27,5476,48
39570,26950,2491,563,22,5476,52
4006,17199,1187,419,3,5476,48
2042,1407,166,104,19,5716,589
41062,1043814,335701,26771,1034,5716,49
47930,11540,299,406,8,5400,2279
24960,362,72,130,1,5400,1314
7038,62952,5491,1175,0,5400,50
20161,92169,7990,1689,509,5753,265
6840,6720,274,21,2,5753,4541
20390,17975,1199,614,6,5753,658
39318,185687,8856,1561,452,5753,48
42950,2401,251,113,6,5727,68
502,24299,2901,584,120,5687,50
29131,24120,2398,765,29,5765,158
33474,11539,1183,1261,110,5765,71
48959,58586,3279,506,455,5765,2139
35943,123704,10870,4022,1750,5765,66
4247,71924,5897,4683,139,5716,48
20035,15463,919,432,17,5716,51
12980,23509,1646,1469,10,5716,168
6878,14523,1094,700,40,5727,49
8860,12483,1168,704,2,5727,80
28969,3767,395,1084,12,5421,108
15000,19705,1362,433,17,5421,49
19181,4575,248,999,14,5421,51
19178,11445,1358,496,285,5421,48
35718,10801,2119,430,24,5617,48
48125,18759,5275,5180,856,5617,50
13456,31762,6788,909,374,5617,471
11058,11071,353,403,3,5476,104
49040,18136,1775,1696,20,5476,49
19073,63959,2689,2583,38,5476,48
37316,148388,12501,11275,6744,5658,73
32551,45176,2723,2631,56,5343,52
8713,21125,2824,479,0,5343,48
42086,2250,238,73,1,5566,2958
20090,178870,3426,666,36,5765,63
41467,52060,3108,2207,64,5765,64
4311,15550,549,929,2,5764,48
26686,10105,738,1230,33,5764,49
33146,32855,3298,3135,31,5752,48
47173,20628,1983,176,28,5752,78
20180,2419,164,494,8,5686,49
31422,54532,6265,2291,151,5400,2123
49252,17731,779,134,3,5716,540
11133,6649,587,109,7,5716,140
18972,2828,274,180,6,5617,1493
25654,10829,2264,175,9,5617,49
36608,31354,2556,1781,21,5617,49
46723,1023,525,178,2,5595,48
38429,28166,4284,3533,73,5595,56
49789,9040,1826,4820,9,5658,49
21231,16094,935,1543,44,5421,332
298,8888,1933,101,11,5386,67
4921,12903,803,777,68,5729,1982
42662,25568,2458,3027,92,5729,402
43556,13479,508,306,41,5729,61
10604,9300,884,897,38,5727,48
15272,9666,996,944,11,5727,511
28876,27002,7454,2804,289,5752,50
18905,153947,6542,3851,471,5752,49
5202,5589,1730,897,55,5514,49
23369,6894,1154,142,7,5514,65
44734,41032,3657,1330,5,5716,48
4946,2185,387,358,3,5716,49
40385,138832,12868,2643,198,5716,49
32415,21974,1017,1106,12,5716,48
51041,124853,5693,5094,151,5764,60
44279,46226,1824,567,24,5764,243
46668,9340,637,481,29,5764,228
44804,15332,664,263,2,5764,50
25726,132181,8653,550,147,5764,48
9331,46067,3717,1750,110,5617,378
30612,16264,1169,122,1,5617,49
13885,9285,466,738,4,5686,1216
39367,15745,759,338,84,5657,1346
4160,42018,5475,4313,44,5657,52
5063,51513,2519,915,16,5752,49
31571,1302,172,570,1,5752,239
2123,1032,43,0,0,5233,4502
17656,189034,30066,1915,24460,5716,48
11235,31804,2165,1647,79,5716,497
6717,30964,3163,2920,33,5716,49
46027,26632,5052,1898,132,5716,48
11345,41546,1570,1035,42,5727,52
39527,19704,2457,1909,61,5727,187
15190,17516,1565,148,15,5727,2069
23287,92929,4803,203,21,5727,49
27617,24997,1576,3830,57,5727,177
18911,27842,2084,2717,1013,5499,48
17798,37550,2448,317,6,5499,48
18208,17816,2286,1531,73,5499,64
46138,4908,6470,320,351,5499,48
27309,1,26642,3007,2654,5764,49
43620,29469,4295,2349,85,5764,455
28541,28730,1211,799,21,5764,184
42815,24999,792,995,3,5617,52
23962,17991,1873,275,26,5617,50
37415,53318,15839,1837,1032,5616,49
50723,6486,630,488,41,5616,53
35364,11733,1474,923,184,5616,285
5311,27557,7332,4715,191,5616,50
7744,3405,372,365,40,5421,877
5121,64797,15429,8743,194,5686,54
35716,7972,1013,696,51,5686,71
9756,38138,2750,348,312,5686,712
35130,4365,339,497,8,5657,1164
35962,76893,11788,2316,2886,5657,848
33396,6412,408,17,2,5657,455
18900,5859,1054,290,19,5657,303
45380,105732,5782,665,66,5657,49
14909,6100,469,528,42,5657,49
20689,33292,4132,234,14,5716,98
10932,27836,2505,1946,395,5715,49
22928,10368,550,215,3,5715,168
3972,83626,3911,2802,69,5715,49
32121,1614,379,136,14,5715,1910
32862,25321,2076,1387,67,5764,56
38769,7742,484,1548,2,5386,624
11374,6826,2641,772,48,5727,213
35077,17922,1707,771,9,5727,2223
3159,47906,3712,673,229,5727,432
38559,37923,4887,2383,111,5400,48
23296,7243,366,178,1,5686,751
19869,30477,2656,769,94,5686,49
7887,17011,1339,669,64,5594,49
25449,42609,4129,6298,143,5600,48
32276,87329,4717,5045,153,5594,155
42819,11745,1638,763,7,5616,51
24774,1431,248,83,1,5763,49
44572,81978,6197,8328,623,5763,52
24561,11157,1053,1509,14,5343,328
5494,33259,2152,1389,58,5343,50
22332,3152,652,607,10,5343,50
46706,25111,1227,652,31,5732,4589
12096,34620,2444,1707,21,5732,49
50784,29668,1262,1062,618,5732,49
29175,22770,1703,1840,54,5732,51
29699,3343,288,323,48,5732,60
623,3606,704,467,30,5752,50
